ts_code,basic_eps_yoy
000786,1819.187854545455
002157,1068.8918090909092
002714,959.2016181818182
600027,796.3065090909091
601808,762.294090909091
002414,359.6107181818182
601555,329.9290909090909
603160,297.3980818181818
603799,293.94716363636365
600745,270.43626666666665
601919,257.4449545454546
002456,233.0812727272727
600893,226.18519090909095
603501,220.44423636363635
300433,220.02463636363638
002024,215.31879090909095
600760,185.19240909090908
688036,154.03168333333335
300676,146.91314545454546
600369,138.3181818181818
300122,136.8661909090909
600177,128.11573636363636
688012,127.7315
601377,125.40090909090912
002371,124.92977272727272
603392,112.15948
000157,110.2028090909091
002594,107.9936818181818
300142,107.25922727272727
000961,104.7105090909091
600150,103.92017272727274
600050,103.68440000000001
000656,95.61273636363636
600031,92.18786363636364
002463,91.57870000000001
300059,91.12527272727272
601155,89.5556
600346,87.74232727272727
601236,86.43763333333332
600918,85.3638
002001,84.20509090909091
300347,82.67312727272727
300498,81.34164545454546
600570,81.23877272727272
601872,81.04879090909093
601628,76.38072727272728
002384,75.05218181818182
002600,74.28535454545454
601100,73.41013636363635
300601,68.98492727272728
000783,65.87181818181818
300014,65.08861818181819
600588,62.670999999999985
000876,59.176563636363646
000425,57.7931
002475,57.663372727272716
601788,55.46545454545455
000671,53.16187272727273
601012,52.02382727272727
002049,51.85830000000001
600011,51.61326666666667
603019,50.20841818181818
601990,49.74272727272728
600845,49.43927272727273
002493,44.7313
000768,44.592990909090915
300529,44.24468181818182
601336,44.057309090909094
600585,43.127581818181824
000661,42.67403636363636
601601,41.39330909090909
600809,40.305309090909084
002311,39.29998181818182
603986,39.08563636363636
601066,37.48110833333333
002939,37.201
600352,35.802800000000005
300003,35.56140909090909
600332,35.24821818181818
002607,34.954254545454546
002916,34.4979090909091
000860,34.08057272727273
002673,33.78636363636363
600383,32.66151818181818
002821,31.965872727272725
002736,31.90090909090909
300413,31.423772727272727
600998,30.365872727272723
002271,30.215381818181815
000568,30.176209090909087
600025,29.47871818181819
002945,29.264999999999997
601881,29.06181818181818
000858,29.001727272727273
600061,28.994754545454544
601117,28.83888181818182
600111,28.579918181818183
600999,28.35090909090908
000977,27.944827272727274
600208,27.76639090909091
002555,27.635345454545458
000596,27.218181818181822
600436,27.197000000000003
600872,26.22560909090909
002129,25.670990909090907
600519,24.770872727272728
002422,24.760772727272727
600958,24.175454545454542
002841,24.135854545454546
300628,23.899045454545455
002812,23.203209090909088
601901,22.570958333333337
601888,22.328727272727278
000963,22.27761818181818
600886,22.231254545454544
600763,22.188172727272725
600837,21.991818181818186
300015,21.67966363636364
002146,21.668345454545456
000728,21.585454545454546
002938,21.516344444444442
600606,21.269499999999997
600109,21.226363636363637
000338,21.0932
603993,21.07857272727273
603288,20.918772727272724
600276,20.84200909090909
000708,20.81312727272727
002602,20.58861666666667
002202,20.299363636363637
603899,20.002772727272728
601318,19.957375000000003
688008,19.93582857142857
000002,19.72005454545455
300033,19.686790909090906
601162,19.60501
603369,19.520809090909093
600048,19.416336363636365
002624,19.3509
600655,18.52458181818182
603658,18.39522727272727
600438,17.99808181818182
603259,17.778245454545456
000703,17.639200000000002
601933,17.63109090909091
600030,17.27181818181818
600390,17.079836363636364
600547,16.935736363636362
300124,16.70067272727273
000895,16.40760909090909
002352,16.346627272727275
601688,16.300909090909087
000166,15.94909090909091
600926,15.427345454545453
601360,14.845263636363633
601319,14.786720000000003
600340,14.389172727272728
002236,14.077927272727273
000776,13.964545454545457
002142,13.655027272727274
600600,13.504736363636363
601838,13.170763636363636
601198,11.542727272727273
601877,11.525336363636363
601229,11.440290909090908
601009,11.401954545454545
601899,11.388545454545454
600183,11.254727272727273
600705,11.022718181818181
002304,10.989236363636364
002230,10.839454545454545
002179,10.738736363636363
601216,10.60439090909091
600036,10.559281818181818
603087,10.13092
002241,10.073345454545453
000069,9.954836363636362
600919,9.887427272727273
000627,9.817918181818184
600989,9.713275
000333,9.198472727272728
002773,9.136118181818183
002415,9.130545454545453
601390,8.877245454545454
600406,8.1979
601658,7.537063636363637
601108,7.39909090909091
601878,7.2272727272727275
600271,6.9857454545454525
601618,6.709454545454546
601577,6.674445454545455
002032,6.615227272727274
601668,6.57459090909091
601186,6.5426909090909104
600233,6.489863636363637
600018,6.42890909090909
002958,6.375018181818183
600848,5.095
601607,4.937472727272727
002601,4.648309090909091
300408,4.3991181818181815
601998,3.8670916666666666
000938,3.866990909090909
000001,3.696325
000538,3.6599
000100,3.621581818181818
002007,3.5358
601225,3.3345
603195,2.8298833333333326
002508,2.7596454545454545
601166,2.7358272727272728
600362,2.651363636363638
601985,2.6487636363636367
601939,2.4725545454545457
601698,2.430785714285714
600299,2.412981818181817
600887,2.3778454545454544
002008,2.1692818181818208
600000,2.028190909090909
601398,1.9624000000000001
002050,1.6113
600522,1.4815272727272728
601766,1.4528818181818202
001979,1.2245363636363606
601818,0.890063636363636
002120,0.798872727272726
601211,0.5514499999999986
601077,0.3249818181818181
601988,0.13309166666666639
601288,-0.21707272727272714
601328,-0.3790909090909096
600900,-0.46988181818181823
600637,-0.5192166666666665
601169,-0.8168181818181821
600161,-0.9877636363636358
600016,-1.1752
601696,-1.6286666666666672
601669,-1.6804909090909086
601231,-1.7391818181818182
601916,-1.9362428571428578
600196,-2.383436363636364
601727,-2.414927272727273
000651,-2.55857272727273
601857,-3.3384181818181715
601088,-3.9026
600690,-3.964754545454544
600085,-4.0423909090909085
002410,-4.428645454545454
601006,-4.57339090909091
300136,-4.936345454545454
600118,-4.937254545454546
600176,-5.218936363636366
600660,-5.348563636363636
603156,-5.5958
603833,-5.769845454545455
002558,-6.445290909090909
601800,-6.563590909090908
600015,-9.0741
600068,-9.286518181818183
601138,-9.4339
600741,-9.681045454545453
600019,-10.73201818181818
600487,-10.820381818181813
600010,-10.893981818181816
688009,-11.041814285714285
300144,-11.418136363636364
600009,-12.00696363636364
003816,-12.197954545454547
002460,-13.65285454545455
002153,-13.889545454545457
600309,-17.068018181818182
000723,-17.16026363636363
600104,-17.524463636363635
600703,-19.901318181818183
600482,-20.31653636363636
600795,-20.40079090909091
600489,-21.64215
002027,-22.503572727272726
601989,-23.95008181818181
601633,-25.373583333333332
601021,-26.129018181818186
601238,-29.636572727272725
600498,-32.83423636363636
600297,-36.47315454545454
600066,-36.616372727272726
601600,-37.33488181818182
000725,-38.198890909090906
002252,-43.98165454545454
600028,-46.783775
601816,-47.686519999999994
600004,-61.25497272727273
000063,-90.83263636363635
000625,-92.0154
000066,-104.82957272727275
601111,-107.57217499999997
600115,-113.87676363636365
002739,-127.37219090909093
600029,-152.20118333333335
002044,-245.90427272727277
600584,-308.68513636363633
