ts_code,roe
603195,37.40996666666667
002841,27.314294999999998
002027,26.919692
300628,26.55663636363637
603288,20.951513043478254
603156,19.497990476190477
603160,19.48334761904762
600340,19.430525
000895,19.192388
000963,19.087234782608697
600519,19.020736
603658,18.52963181818182
300529,18.434791304347826
002714,18.407366666666668
000333,18.3836625
600309,18.100284000000002
688008,17.85605384615385
002415,17.793320833333336
000651,17.73777391304348
002304,17.3808
300033,16.884363999999998
300136,16.6365347826087
600887,16.396625
002555,16.3404
600809,16.28132
603087,16.017799999999998
688036,15.881492307692307
300122,15.809620833333332
300498,15.639933333333332
603899,15.639216666666668
002032,15.512754166666667
002508,15.287664
600763,14.679388
000568,14.636896000000002
603369,14.562404166666667
603833,14.48811818181818
002120,14.481021739130433
600276,14.398175
000661,14.124636
603392,13.96866666666667
002916,13.95115263157895
600436,13.796524
300601,13.666070000000001
601318,13.656220833333334
000858,13.529470833333333
000596,13.390851999999997
600690,13.373416666666666
601138,13.342715789473683
300015,13.208412
603986,12.95446818181818
601888,12.713596
600989,12.698025000000001
002624,12.617970833333333
002236,12.465079166666667
601012,12.443150000000001
300003,12.419604347826086
601155,12.1141875
002460,12.029479166666667
002271,12.0142625
002007,11.850513043478259
603259,11.801333333333332
600352,11.758204000000001
601577,11.661136842105263
002311,11.623520000000001
600585,11.555483333333333
600606,11.529668000000001
601877,11.468354166666666
600177,11.411170833333335
600161,11.345488
000538,11.336826086956522
300408,11.193408695652174
002821,11.091375000000001
002475,11.071048000000001
300124,11.025982608695651
600570,10.836484
002008,10.756459999999999
600036,10.720052173913041
002179,10.639583333333333
600487,10.603330434782608
300347,10.553200000000002
603501,10.514533333333336
300059,10.509164
002773,10.491734782608697
600031,10.435464
002142,10.426139130434782
600183,10.167743999999999
601838,10.140233333333335
002146,10.120241666666667
600872,10.056632
601668,10.0469625
600660,9.966212
002001,9.860556
002607,9.821465217391305
600176,9.813983333333333
300014,9.810830434782607
601336,9.802000000000001
600332,9.788404347826086
601166,9.745308695652174
600741,9.740724
601009,9.732691304347826
002050,9.7118875
601100,9.613544
601939,9.58318695652174
600346,9.574695833333333
601916,9.561266666666667
000338,9.551965217391302
601225,9.510023999999998
300676,9.466814285714287
601077,9.452343478260872
601319,9.396325000000001
002812,9.29727142857143
600900,9.20805
601066,9.137265217391304
600886,9.126848
601360,9.106072
600438,9.04122
601288,9.040082608695652
000002,9.023095652173913
002958,8.99005
601398,8.953265217391307
600016,8.948675
300144,8.911204347826086
601021,8.862804
600066,8.83422
000625,8.82515652173913
002157,8.76784347826087
600104,8.723579999999998
600233,8.706776
001979,8.705995833333334
601238,8.669852
601658,8.664395454545454
002601,8.6534
000708,8.651995833333332
600000,8.646739130434783
003816,8.535341666666666
002736,8.427347826086956
000876,8.427073913043479
601169,8.412678260869566
002945,8.394978947368422
601216,8.369804166666666
600048,8.355744
601633,8.348316
601229,8.309140909090909
600600,8.253654166666665
002352,8.22564347826087
002493,8.188233333333335
600919,8.178804761904761
000166,8.111473913043481
002938,8.07710625
601601,8.057291304347824
002602,8.023679166666668
601006,7.97838
688009,7.930915384615384
600085,7.877959999999999
300413,7.820526086956522
600271,7.809404000000001
601988,7.777495833333333
600061,7.756695833333333
601818,7.690691304347825
002202,7.680482608695652
000703,7.669575000000001
000656,7.6603826086956515
000069,7.640241666666667
000001,7.541495833333333
601998,7.493341666666667
603799,7.482962499999999
600196,7.4767624999999995
002558,7.383130434782607
000776,7.38061304347826
600926,7.380557142857142
600845,7.369908000000001
600383,7.3639
601985,7.3510541666666676
600015,7.312445833333334
601628,7.308241666666667
600703,7.284511999999999
000786,7.280130434782608
600009,7.265039999999999
600705,7.225548
601108,7.159490909090908
601328,7.157895652173913
600406,7.149995833333333
601088,7.100821739130436
600999,7.019995652173913
601231,6.9214080000000004
600522,6.903529166666668
601696,6.863847368421052
600018,6.829166666666667
002241,6.812047826086955
601607,6.728791666666666
002049,6.6969521739130435
000671,6.6315375
601933,6.627312
000627,6.625996428571429
601377,6.606834782608695
601211,6.596229166666667
601878,6.5938727272727276
601872,6.577784
002463,6.570520833333334
600297,6.459516
601186,6.431970833333334
000783,6.400465217391303
600958,6.36436956521739
600918,6.348441666666666
300433,6.222104347826087
601198,6.197243478260869
600011,6.164728
601390,6.1316999999999995
000961,6.118213043478262
000100,6.104052173913044
601669,6.073804
600115,6.043760869565216
601688,6.026473913043478
000860,5.995720833333333
600637,5.972358333333333
600068,5.936408
600030,5.843760869565217
000977,5.809879166666668
002673,5.792413043478262
002410,5.71902
600837,5.71344347826087
600848,5.7086879999999995
601899,5.69998
601990,5.63476
601800,5.6296875
601788,5.62045652173913
601766,5.598103999999999
601881,5.565199999999999
600998,5.374652
600109,5.3679304347826085
002939,5.238852631578947
000723,5.232560869565217
600004,5.1979359999999994
600027,5.099055999999999
600208,5.0840440000000005
603019,5.076896
002456,5.070634782608696
600025,4.902948
601555,4.871426086956522
600498,4.845324
600369,4.830247826086957
002384,4.82125652173913
601117,4.774016666666667
600655,4.72726
600019,4.727078260869566
002739,4.664658333333333
601618,4.622233333333333
600795,4.518233333333334
002600,4.461260869565216
603993,4.422230434782609
002153,4.415326086956522
600547,4.4112800000000005
002422,4.3858999999999995
601236,4.355580000000001
002414,4.266375
600118,4.113048
002594,4.1073130434782605
000728,4.060452173913044
600029,4.041464
601901,3.9571958333333335
002252,3.931995833333333
000938,3.8589217391304356
600390,3.8588680000000006
601162,3.6778699999999995
600028,3.573168
002230,3.485868
000425,3.474413043478261
601816,3.458930769230769
601111,3.3727840000000002
601727,3.3425879999999997
000157,3.188616666666667
600482,3.1187560000000003
002129,3.103241666666667
002024,3.0486739130434777
601698,2.9710733333333335
600111,2.925208
600745,2.9101166666666667
002371,2.7059130434782612
000725,2.683139130434783
600362,2.270212
600299,2.017112
600893,1.9621000000000004
000063,1.911395652173914
600050,1.9043240000000003
000066,1.834292
600489,1.7350153846153842
688012,1.614725
002044,1.4493304347826088
601857,1.3627521739130437
600584,1.1756541666666667
000768,1.0789913043478265
601600,0.98805
600588,0.8121791666666667
600010,0.6063719999999999
601989,0.54054
600760,-0.7056083333333341
601919,-0.7620599999999996
600150,-0.8266879999999999
601808,-1.174268
300142,-1.214095652173913
